Pathogen,table_id,Food_category,Year,Serotype,Burden,Trajectory,Year_range,No_of_illnesses,Burden_sort_order,Trajectory_sort_order,Master_sort_order
Salmonella,Pork_Mbandaka_2011-2015,Pork,2020,Mbandaka,Low,Decreased,2011-2015,27,3,3,9
Salmonella,Pork_Mbandaka_2016-2020,Pork,2020,Mbandaka,Low,Decreased,2016-2020,0,3,3,9
Salmonella,Pork_Thompson_2011-2015,Pork,2020,Thompson,Low,Decreased,2011-2015,11,3,3,9
Salmonella,Pork_Thompson_2016-2020,Pork,2020,Thompson,Low,Decreased,2016-2020,0,3,3,9
Salmonella,Pork_Uganda_2011-2015,Pork,2020,Uganda,Low,Decreased,2011-2015,24,3,3,9
Salmonella,Pork_Uganda_2016-2020,Pork,2020,Uganda,Low,Decreased,2016-2020,0,3,3,9
Salmonella,Turkey_Enteritidis_2011-2015,Turkey,2020,Enteritidis,High,Increased,2011-2015,59,1,1,1
Salmonella,Turkey_Enteritidis_2016-2020,Turkey,2020,Enteritidis,High,Increased,2016-2020,610,1,1,1
Salmonella,Turkey_Reading_2011-2015,Turkey,2020,Reading,High,Increased,2011-2015,4,1,1,1
Salmonella,Turkey_Reading_2016-2020,Turkey,2020,Reading,High,Increased,2016-2020,380,1,1,1
Salmonella,Turkey_Hadar_2011-2015,Turkey,2020,Hadar,Moderate,Increased,2011-2015,0,2,1,4
Salmonella,Turkey_Hadar_2016-2020,Turkey,2020,Hadar,Moderate,Increased,2016-2020,51,2,1,4
Salmonella,Turkey_Newport_2011-2015,Turkey,2020,Newport,Low,Increased,2011-2015,0,3,1,7
Salmonella,Turkey_Newport_2016-2020,Turkey,2020,Newport,Low,Increased,2016-2020,9,3,1,7
Salmonella,Turkey_Anatum_2011-2015,Turkey,2020,Anatum,Low,Increased,2011-2015,0,3,1,7
Salmonella,Turkey_Anatum_2016-2020,Turkey,2020,Anatum,Low,Increased,2016-2020,8,3,1,7
Salmonella,Turkey_Schwarzengrund_2011-2015,Turkey,2020,Schwarzengrund,Low,Increased,2011-2015,0,3,1,7
Salmonella,Turkey_Schwarzengrund_2016-2020,Turkey,2020,Schwarzengrund,Low,Increased,2016-2020,7,3,1,7
Salmonella,"Turkey_I 4,[5],12:i:-_2011-2015",Turkey,2020,"I 4,[5],12:i:-",Low,Decreased,2011-2015,10,3,3,9
Salmonella,"Turkey_I 4,[5],12:i:-_2016-2020",Turkey,2020,"I 4,[5],12:i:-",Low,Decreased,2016-2020,3,3,3,9
Salmonella,Turkey_Braenderup_2011-2015,Turkey,2020,Braenderup,Low,Decreased,2011-2015,4,3,3,9
Salmonella,Turkey_Braenderup_2016-2020,Turkey,2020,Braenderup,Low,Decreased,2016-2020,0,3,3,9
Salmonella,Turkey_Heidelberg_2011-2015,Turkey,2020,Heidelberg,Low,Decreased,2011-2015,186,3,3,9
Salmonella,Turkey_Heidelberg_2016-2020,Turkey,2020,Heidelberg,Low,Decreased,2016-2020,0,3,3,9
Salmonella,Turkey_Javiana_2011-2015,Turkey,2020,Javiana,Low,Decreased,2011-2015,20,3,3,9
Salmonella,Turkey_Javiana_2016-2020,Turkey,2020,Javiana,Low,Decreased,2016-2020,0,3,3,9
Salmonella,Turkey_Muenchen_2011-2015,Turkey,2020,Muenchen,Low,Decreased,2011-2015,14,3,3,9
Salmonella,Turkey_Muenchen_2016-2020,Turkey,2020,Muenchen,Low,Decreased,2016-2020,0,3,3,9
Salmonella,Turkey_Saintpaul_2011-2015,Turkey,2020,Saintpaul,Low,Decreased,2011-2015,13,3,3,9
Salmonella,Turkey_Saintpaul_2016-2020,Turkey,2020,Saintpaul,Low,Decreased,2016-2020,0,3,3,9
Salmonella,Turkey_Typhimurium_2011-2015,Turkey,2020,Typhimurium,Low,Decreased,2011-2015,28,3,3,9
Salmonella,Turkey_Typhimurium_2016-2020,Turkey,2020,Typhimurium,Low,Decreased,2016-2020,0,3,3,9
Salmonella,Beef_Newport_2012-2016,Beef,2021,Newport,High,Increased,2012-2016,283,1,1,1
Salmonella,Beef_Newport_2017-2021,Beef,2021,Newport,High,Increased,2017-2021,530,1,1,1
Salmonella,Beef_Typhimurium_2012-2016,Beef,2021,Typhimurium,High,Stable,2012-2016,75,1,2,2
Salmonella,Beef_Typhimurium_2017-2021,Beef,2021,Typhimurium,High,Stable,2017-2021,54,1,2,2
Salmonella,Beef_Dublin_2012-2016,Beef,2021,Dublin,High,Increased,2012-2016,21,1,1,1
Salmonella,Beef_Dublin_2017-2021,Beef,2021,Dublin,High,Increased,2017-2021,51,1,1,1
Salmonella,Beef_Heidelberg_2012-2016,Beef,2021,Heidelberg,Moderate,Increased,2012-2016,0,2,1,4
Salmonella,Beef_Heidelberg_2017-2021,Beef,2021,Heidelberg,Moderate,Increased,2017-2021,32,2,1,4
Salmonella,"Beef_I 4,[5],12:i:-_2012-2016",Beef,2021,"I 4,[5],12:i:-",Moderate,Increased,2012-2016,0,2,1,4
Salmonella,"Beef_I 4,[5],12:i:-_2017-2021",Beef,2021,"I 4,[5],12:i:-",Moderate,Increased,2017-2021,25,2,1,4
Salmonella,Beef_Oranienburg_2012-2016,Beef,2021,Oranienburg,Low,Increased,2012-2016,0,3,1,7
Salmonella,Beef_Oranienburg_2017-2021,Beef,2021,Oranienburg,Low,Increased,2017-2021,18,3,1,7
Salmonella,Beef_Uganda_2012-2016,Beef,2021,Uganda,Low,Stable,2012-2016,25,3,2,8
Salmonella,Beef_Uganda_2017-2021,Beef,2021,Uganda,Low,Stable,2017-2021,18,3,2,8
Salmonella,Beef_Braenderup_2012-2016,Beef,2021,Braenderup,Low,Increased,2012-2016,0,3,1,7
Salmonella,Beef_Braenderup_2017-2021,Beef,2021,Braenderup,Low,Increased,2017-2021,11,3,1,7
Salmonella,Beef_Kiambu_2012-2016,Beef,2021,Kiambu,Low,Increased,2012-2016,0,3,1,7
Salmonella,Beef_Kiambu_2017-2021,Beef,2021,Kiambu,Low,Increased,2017-2021,8,3,1,7
Salmonella,Beef_Enteritidis_2012-2016,Beef,2021,Enteritidis,Low,Decreased,2012-2016,75,3,3,9
Salmonella,Beef_Enteritidis_2017-2021,Beef,2021,Enteritidis,Low,Decreased,2017-2021,6,3,3,9
Salmonella,Beef_Infantis_2012-2016,Beef,2021,Infantis,Low,Increased,2012-2016,0,3,1,7
Salmonella,Beef_Infantis_2017-2021,Beef,2021,Infantis,Low,Increased,2017-2021,4,3,1,7
Salmonella,Beef_Javiana_2012-2016,Beef,2021,Javiana,Low,Decreased,2012-2016,7,3,3,9
Salmonella,Beef_Javiana_2017-2021,Beef,2021,Javiana,Low,Decreased,2017-2021,0,3,3,9
Salmonella,Beef_Muenchen_2012-2016,Beef,2021,Muenchen,Low,Decreased,2012-2016,3,3,3,9
Salmonella,Beef_Muenchen_2017-2021,Beef,2021,Muenchen,Low,Decreased,2017-2021,0,3,3,9
Salmonella,Beef_Potsdam_2012-2016,Beef,2021,Potsdam,Low,Decreased,2012-2016,9,3,3,9
Salmonella,Beef_Potsdam_2017-2021,Beef,2021,Potsdam,Low,Decreased,2017-2021,0,3,3,9
Salmonella,Chicken_Enteritidis_2012-2016,Chicken,2021,Enteritidis,High,Increased,2012-2016,317,1,1,1
Salmonella,Chicken_Enteritidis_2017-2021,Chicken,2021,Enteritidis,High,Increased,2017-2021,679,1,1,1
Salmonella,Chicken_Infantis_2012-2016,Chicken,2021,Infantis,High,Increased,2012-2016,2,1,1,1
Salmonella,Chicken_Infantis_2017-2021,Chicken,2021,Infantis,High,Increased,2017-2021,209,1,1,1
Salmonella,Chicken_Blockley_2012-2016,Chicken,2021,Blockley,High,Increased,2012-2016,0,1,1,1
Salmonella,Chicken_Blockley_2017-2021,Chicken,2021,Blockley,High,Increased,2017-2021,146,1,1,1
Salmonella,Chicken_Typhimurium_2012-2016,Chicken,2021,Typhimurium,Moderate,Increased,2012-2016,0,2,1,4
Salmonella,Chicken_Typhimurium_2017-2021,Chicken,2021,Typhimurium,Moderate,Increased,2017-2021,85,2,1,4
Salmonella,Chicken_Braenderup_2012-2016,Chicken,2021,Braenderup,Moderate,Increased,2012-2016,10,2,1,4
